First Name;Last Name;Gender;Age;Email;Phone;Education;Occupation;Salary
Lenny;Moore;Male;26;l.moore@randatmail.com;296-0612-66;Bachelor;Auditor;7084
Brooke;Spencer;Female;21;b.spencer@randatmail.com;587-1589-36;Master;Teacher;3013
Tara;Armstrong;Female;30;t.armstrong@randatmail.com;340-7129-63;Upper secondary;Cook;6518
Richard;Tucker;Male;28;r.tucker@randatmail.com;357-7747-05;Master;Scientist;1963
Brianna;Cunningham;Female;29;b.cunningham@randatmail.com;932-3534-03;Bachelor;Biochemist;568
Carlos;Higgins;Male;22;c.higgins@randatmail.com;429-6397-03;Master;Jeweller;8655
Edward;Smith;Male;30;e.smith@randatmail.com;080-1279-11;Doctoral;Physicist;6470
Tyler;Clark;Male;30;t.clark@randatmail.com;298-7974-84;Bachelor;Lecturer;8753
Alen;Edwards;Male;21;a.edwards@randatmail.com;842-0636-35;Primary;Teacher;5452
Luke;Ferguson;Male;28;l.ferguson@randatmail.com;277-7194-53;Bachelor;Lawer;1662
Rebecca;Wright;Female;18;r.wright@randatmail.com;159-1366-03;Upper secondary;Cook;2997
William;Mason;Male;19;w.mason@randatmail.com;176-3258-95;Doctoral;Fashion Designer;2145
Hailey;Howard;Female;29;h.howard@randatmail.com;604-2489-63;Upper secondary;Historian;7664
Madaline;Taylor;Female;26;m.taylor@randatmail.com;285-8599-02;Upper secondary;Interpreter;5890
Adrianna;Riley;Female;27;a.riley@randatmail.com;244-2279-53;Primary;Actor;2358
Walter;Owens;Male;26;w.owens@randatmail.com;198-6392-59;Upper secondary;Geologist;2271
Antony;Cole;Male;25;a.cole@randatmail.com;901-8804-37;Primary;Manager;1901
Maddie;Alexander;Female;23;m.alexander@randatmail.com;886-6621-45;Master;Mathematician;2208
Henry;Wright;Male;24;h.wright@randatmail.com;092-5298-98;Upper secondary;Aeroplane Pilot;4563
Sarah;Higgins;Female;18;s.higgins@randatmail.com;575-6564-16;Primary;Accountant;6299
Oliver;Turner;Male;23;o.turner@randatmail.com;029-2960-08;Lower secondary;Electrician;6380
Aldus;Mason;Male;19;a.mason@randatmail.com;469-4743-57;Bachelor;Driver;8937
Spike;Morgan;Male;26;s.morgan@randatmail.com;876-1585-28;Upper secondary;Chemist;8810
Oliver;Dixon;Male;18;o.dixon@randatmail.com;018-6968-77;Doctoral;Veterinarian;2391
Darcy;Mason;Female;23;d.mason@randatmail.com;138-0267-60;Lower secondary;Biochemist;7463
Abraham;Baker;Male;25;a.baker@randatmail.com;297-8731-89;Doctoral;Aeroplane Pilot;7809
Preston;Foster;Male;26;p.foster@randatmail.com;843-4099-64;Primary;Composer;9620
Victor;Carter;Male;19;v.carter@randatmail.com;600-9950-75;Primary;Auditor;2680
Jared;Hunt;Male;24;j.hunt@randatmail.com;328-1052-35;Doctoral;Composer;1980
Cherry;Reed;Female;27;c.reed@randatmail.com;961-3805-87;Master;Jeweller;2870
